S.No,Month,Day ,Cases,Difference,Growth Rate
1,Feb,15,3,0,NA
2,Feb,16,3,0,NA
3,Feb,17,3,0,NA
4,Feb,18,3,0,NA
5,Feb,19,3,0,NA
6,Feb,20,4,1,NA
7,Feb,21,21,17,17
8,Feb,22,79,58,3.41
9,Feb,23,157,78,1.34
10,Feb,24,229,72,0.92
11,Feb,25,323,94,1.3
12,Feb,26,470,147,1.56
13,Feb,27,655,185,1.25
14,Feb,28,889,234,1.26
15,Feb,29,1128,239,1.02
16,Mar,1,1701,573,2.39
17,Mar,2,2036,335,0.58
18,Mar,3,2502,466,1.39
19,Mar,4,3089,587,1.25
20,Mar,5,3858,769,1.31
21,Mar,6,4636,778,1.01
22,Mar,7,5883,1247,1.6
23,Mar,8,7375,1492,1.19
24,Mar,9,9172,1797,1.2
25,Mar,10,10149,977,0.54
26,Mar,11,12462,2313,2.36
27,Mar,12,15113,2651,1.14
28,Mar,13,17660,2547,0.96
29,Mar,14,21157,3497,1.37
30,Mar,15,24747,3590,1.02
31,Mar,16,27980,3233,0.9
32,Mar,17,31506,3256,1
33,Mar,18,35713,4207,1.29
34,Mar,19,41035,5322,1.26
35,Mar,20,47021,5986,1.12
36,Mar,21,53578,6557,1.09
37,Mar,22,59138,5560,0.84
38,Mar,23,63927,4789,0.86
39,Mar,24,69176,4249,0.88
40,Mar,25,74386,5210,1.22
41,Mar,26,80589,6203,1.19
42,Mar,27,86498,5909,0.95
